FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2025-03-01,2025,3,ITALY,LI,1178446.26366,65269,FALSE
2025-03-01,2025,3,KOSOVO,BK,16454.47076,1129,FALSE
2025-03-01,2025,3,LATVIA,EV,34866.79636,2663,FALSE
2025-03-01,2025,3,LITHUANIA,EY,33734.21372,2522,FALSE
2025-03-01,2025,3,LUXEMBOURG,EL,158227.475,2826,FALSE
2025-03-01,2025,3,MALTA,LM,44608.92266,2857,FALSE
2025-03-01,2025,3,"MOLDOVA, REPUBLIC OF",LU,21941.25306,1377,FALSE
2025-03-01,2025,3,MONACO,LN,16.32772,28,FALSE
2025-03-01,2025,3,MONTENEGRO,LY,4897.48086,647,FALSE
2025-03-01,2025,3,NETHERLANDS,EH,863639.91348,26918,FALSE
2025-03-01,2025,3,NORTH MACEDONIA,LW,11637.95142,936,FALSE
2025-03-01,2025,3,NORWAY,EN,229267.71378,27928,TRUE
2025-03-01,2025,3,POLAND,EP,316446.61274,19792,FALSE
2025-03-01,2025,3,PORTUGAL,LP,447375.62722,19399,TRUE
2025-03-01,2025,3,ROMANIA,LR,121395.99694,8680,FALSE
2025-03-01,2025,3,SERBIA,LY,43521.54428,3347,FALSE
2025-03-01,2025,3,SLOVAKIA,LZ,11865.44162,1084,FALSE
2025-03-01,2025,3,SLOVENIA,LJ,6523.55832,995,FALSE
2025-03-01,2025,3,SPAIN,LE,1473483.06826,69372,FALSE
2025-03-01,2025,3,SWEDEN,ES,177720.585,15703,FALSE
2025-03-01,2025,3,SWITZERLAND,LS,473218.40956,20979,FALSE
2025-03-01,2025,3,TÜRKIYE,LT,1378451.484,51065,FALSE
2025-03-01,2025,3,UNITED KINGDOM,EG,2752327.88484,89968,TRUE
2025-04-01,2025,4,ALBANIA,LA,37629.68448,2720,FALSE
2025-04-01,2025,4,ARMENIA,UD,34752.38124,1614,FALSE
2025-04-01,2025,4,AUSTRIA,LO,251823.74946,13908,FALSE
2025-04-01,2025,4,BELGIUM,EB,508436.58752,13729,FALSE
2025-04-01,2025,4,BOSNIA AND HERZEGOVINA,LQ,12157.32302,1073,FALSE
2025-04-01,2025,4,BULGARIA,LB,55749.32226,3850,FALSE
2025-04-01,2025,4,CANARY ISLANDS,GC,339466.39758,19709,FALSE
2025-04-01,2025,4,CROATIA,LD,53128.94212,5211,FALSE
2025-04-01,2025,4,CYPRUS,LC,94534.11628,4368,FALSE
2025-04-01,2025,4,CZECHIA,LK,102518.5498,6612,FALSE
2025-04-01,2025,4,DENMARK,EK,257297.18826,14953,TRUE
2025-04-01,2025,4,ESTONIA,EE,17076.77772,1859,FALSE
2025-04-01,2025,4,FINLAND,EF,189003.3073,8587,FALSE
2025-04-01,2025,4,FRANCE,LF,1840837.4439,79460,FALSE
2025-04-01,2025,4,GEORGIA,UG,71570.34704,2836,FALSE
2025-04-01,2025,4,GERMANY,ED,2416898.80374,87268,FALSE
2025-04-01,2025,4,GREECE,LG,333358.00276,22898,FALSE
2025-04-01,2025,4,HUNGARY,LH,148410.1705,6168,FALSE
2025-04-01,2025,4,ICELAND,BI,39149.65302,1792,FALSE
2025-04-01,2025,4,IRELAND,EI,300646.05378,13908,FALSE
2025-04-01,2025,4,ITALY,LI,1401061.83258,77063,FALSE
2025-04-01,2025,4,KOSOVO,BK,18497.9764,1241,FALSE
2025-04-01,2025,4,LATVIA,EV,34350.2907,2659,FALSE
2025-04-01,2025,4,LITHUANIA,EY,38486.41316,2774,FALSE
2025-04-01,2025,4,LUXEMBOURG,EL,156557.45486,3094,FALSE
2025-04-01,2025,4,MALTA,LM,53147.88872,3483,FALSE
2025-04-01,2025,4,"MOLDOVA, REPUBLIC OF",LU,24676.95068,1539,FALSE
2025-04-01,2025,4,MONACO,LN,24.641679999999997,36,FALSE
2025-04-01,2025,4,MONTENEGRO,LY,10961.30476,1074,FALSE
2025-04-01,2025,4,NETHERLANDS,EH,880247.41282,27945,FALSE
2025-04-01,2025,4,NORTH MACEDONIA,LW,13468.98176,1056,FALSE
2025-04-01,2025,4,NORWAY,EN,229098.53506,27449,TRUE
2025-04-01,2025,4,POLAND,EP,340998.5559,22346,FALSE
2025-04-01,2025,4,PORTUGAL,LP,511461.29896,22762,TRUE
2025-04-01,2025,4,ROMANIA,LR,137027.93012,9648,FALSE
2025-04-01,2025,4,SERBIA,LY,49945.62442,3701,FALSE
2025-04-01,2025,4,SLOVAKIA,LZ,12773.8299,1277,FALSE
2025-04-01,2025,4,SLOVENIA,LJ,8119.966100000001,1109,FALSE
2025-04-01,2025,4,SPAIN,LE,1684920.24972,81650,FALSE
2025-04-01,2025,4,SWEDEN,ES,181015.70852,15935,FALSE
2025-04-01,2025,4,SWITZERLAND,LS,479413.15068,20392,FALSE
2025-04-01,2025,4,TÜRKIYE,LT,1604433.9009,60031,FALSE
2025-04-01,2025,4,UNITED KINGDOM,EG,3001906.53924,96729,TRUE
2025-05-01,2025,5,ALBANIA,LA,41868.81002,3087,FALSE
2025-05-01,2025,5,ARMENIA,UD,39299.3242,1786,FALSE
2025-05-01,2025,5,AUSTRIA,LO,287179.91082,15113,FALSE
2025-05-01,2025,5,BELGIUM,EB,527169.9352,14782,FALSE
2025-05-01,2025,5,BOSNIA AND HERZEGOVINA,LQ,13511.52748,1186,FALSE
2025-05-01,2025,5,BULGARIA,LB,61616.89194,4403,FALSE
2025-05-01,2025,5,CANARY ISLANDS,GC,285219.57836,18619,FALSE
2025-05-01,2025,5,CROATIA,LD,82119.68078,7098,FALSE
2025-05-01,2025,5,CYPRUS,LC,110522.7165,4765,FALSE
2025-05-01,2025,5,CZECHIA,LK,117712.52044,7509,FALSE
2025-05-01,2025,5,DENMARK,EK,272062.59144,16154,TRUE
2025-05-01,2025,5,ESTONIA,EE,19182.48936,1995,FALSE
2025-05-01,2025,5,FINLAND,EF,204732.00118,8930,FALSE
2025-05-01,2025,5,FRANCE,LF,1937908.90334,83808,FALSE
2025-05-01,2025,5,GEORGIA,UG,75204.56044,3085,FALSE
2025-05-01,2025,5,GERMANY,ED,2550224.8035,93815,FALSE
2025-05-01,2025,5,GREECE,LG,570624.10732,32974,FALSE
2025-05-01,2025,5,HUNGARY,LH,158028.6607,6528,FALSE
2025-05-01,2025,5,ICELAND,BI,51451.1302,2147,FALSE
2025-05-01,2025,5,IRELAND,EI,336167.78476,15214,FALSE
2025-05-01,2025,5,ITALY,LI,1522178.33842,84731,FALSE
2025-05-01,2025,5,KOSOVO,BK,19078.65484,1236,FALSE
2025-05-01,2025,5,LATVIA,EV,37992.54606,2904,FALSE
2025-05-01,2025,5,LITHUANIA,EY,41989.78852,2979,FALSE
2025-05-01,2025,5,LUXEMBOURG,EL,157377.64566,3237,FALSE
2025-05-01,2025,5,MALTA,LM,56569.54578,3676,FALSE
2025-05-01,2025,5,"MOLDOVA, REPUBLIC OF",LU,30768.586,1947,FALSE
2025-05-01,2025,5,MONACO,LN,44.432759999999995,73,FALSE
2025-05-01,2025,5,MONTENEGRO,LY,15285.80242,1410,FALSE
2025-05-01,2025,5,NETHERLANDS,EH,926097.79604,29444,FALSE
2025-05-01,2025,5,NORTH MACEDONIA,LW,14644.82044,1148,FALSE
2025-05-01,2025,5,NORWAY,EN,239459.50556,29095,TRUE
2025-05-01,2025,5,POLAND,EP,376869.10814,24507,FALSE
2025-05-01,2025,5,PORTUGAL,LP,544748.87944,24257,TRUE
2025-05-01,2025,5,ROMANIA,LR,139755.55286,9926,FALSE
2025-05-01,2025,5,SERBIA,LY,55947.45456,4079,FALSE
2025-05-01,2025,5,SLOVAKIA,LZ,14354.97786,1439,FALSE
2025-05-01,2025,5,SLOVENIA,LJ,9567.14886,1311,FALSE
2025-05-01,2025,5,SPAIN,LE,1869744.93206,90971,FALSE
2025-05-01,2025,5,SWEDEN,ES,193721.06204,16976,FALSE
2025-05-01,2025,5,SWITZERLAND,LS,498044.9015,21462,FALSE
2025-05-01,2025,5,TÜRKIYE,LT,1800299.51394,67309,FALSE
2025-05-01,2025,5,UNITED KINGDOM,EG,3259603.53818,107395,TRUE
2025-06-01,2025,6,ALBANIA,LA,47501.97714,3425,FALSE
2025-06-01,2025,6,ARMENIA,UD,45957.25892,1948,FALSE
2025-06-01,2025,6,AUSTRIA,LO,275841.1439,15490,FALSE
2025-06-01,2025,6,BELGIUM,EB,529000.2697,14448,FALSE
2025-06-01,2025,6,BOSNIA AND HERZEGOVINA,LQ,19182.20612,1386,FALSE
2025-06-01,2025,6,BULGARIA,LB,75796.03792,5215,FALSE
2025-06-01,2025,6,CANARY ISLANDS,GC,281746.66508,18311,FALSE
2025-06-01,2025,6,CROATIA,LD,105097.08064,9032,FALSE
2025-06-01,2025,6,CYPRUS,LC,123497.12512,5279,FALSE
2025-06-01,2025,6,CZECHIA,LK,146027.88938,8899,FALSE
2025-06-01,2025,6,DENMARK,EK,286710.878,16565,TRUE
2025-06-01,2025,6,ESTONIA,EE,19483.41504,1927,FALSE
2025-06-01,2025,6,FINLAND,EF,193025.25014,8603,FALSE
2025-06-01,2025,6,FRANCE,LF,1978296.3521,88195,FALSE
2025-06-01,2025,6,GEORGIA,UG,86281.93802,3377,FALSE
2025-06-01,2025,6,GERMANY,ED,2515980.87824,93371,FALSE
2025-06-01,2025,6,GREECE,LG,706650.8035,41716,FALSE
2025-06-01,2025,6,HUNGARY,LH,156346.051,6504,FALSE
2025-06-01,2025,6,ICELAND,BI,60610.97218,2358,FALSE
2025-06-01,2025,6,IRELAND,EI,342055.59546,15252,FALSE
2025-06-01,2025,6,ITALY,LI,1610951.22702,88777,FALSE
2025-06-01,2025,6,KOSOVO,BK,19647.173600000002,1287,FALSE
2025-06-01,2025,6,LATVIA,EV,38502.71182,2874,FALSE
2025-06-01,2025,6,LITHUANIA,EY,38769.211500000005,2902,FALSE
2025-06-01,2025,6,LUXEMBOURG,EL,156949.97366,3230,FALSE
2025-06-01,2025,6,MALTA,LM,55421.13452,3624,FALSE
2025-06-01,2025,6,"MOLDOVA, REPUBLIC OF",LU,34924.17906,2261,FALSE
2025-06-01,2025,6,MONACO,LN,33.290600000000005,56,FALSE
2025-06-01,2025,6,MONTENEGRO,LY,19873.8711,1745,FALSE
2025-06-01,2025,6,NETHERLANDS,EH,907276.82418,28349,FALSE
2025-06-01,2025,6,NORTH MACEDONIA,LW,15906.24792,1237,FALSE
2025-06-01,2025,6,NORWAY,EN,254591.3296,29387,TRUE
2025-06-01,2025,6,POLAND,EP,409858.6022,26049,FALSE
2025-06-01,2025,6,PORTUGAL,LP,562963.64598,25219,TRUE
