YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2024,1,JAN,EDDF,Frankfurt,Germany,15389,304802.84907817614,89152.90880646651,3828400,1610520,4755.102040816326,598,2839,3298017.7176794,1811144.4679418,15543,40655.2260760572,1110.957268154937,333578,14320,33000,11970,15218,105589.2393136,13922.44448,Frankfurt (EDDF)
2024,1,JAN,EDDG,Munster Osnabruck,Germany,413,4212.663406421574,2788.3709997008204,89220,73080,3025.4644808743165,69,88,12474.5283252,8006.1130754,422,1527.7811536555212,494.404140727605,21360,12120,21000,339,388,1959.465577199999,158.78800180000002,Munster Osnabruck (EDDG)
2024,1,JAN,EDDH,Hamburg,Germany,3705,20877.0499736595,12846.9885692469,335980,248620,3066.923076923077,774,946,223464.09211199998,172462.8613165,3711,7220.148069145177,121.311220860147,61061,2420,35000,3111,3676,9638.320071899998,514.551235,Hamburg (EDDH)
2024,1,JAN,EDDK,Cologne/Bonn,Germany,3571,52040.7230844325,11636.703288541901,644140,214940,4106.122448979592,620,1258,532775.1487203,210383.7999252,3631,9841.244382078363,252.98374144097698,86049,4100,33000,2886,3561,17802.8347823,2310.984966999999,Cologne/Bonn (EDDK)
2024,1,JAN,EDDL,Dusseldorf,Germany,4696,53211.8224094746,11239.2022424973,620935,218315,3500,751,1699,382285.2242548,165380.9689954,4691,19304.8421252478,159.648996742111,153640,2760,33975,3402,4645,19180.1815404,829.1538858,Dusseldorf (EDDL)
2024,1,JAN,EDDM,Munich,Germany,10706,185117.2291129722,63566.7929119408,2248920,1147300,4877.5,444,1298,1373232.8293129,950300.7246892999,10763,44369.167174894006,720.787611047216,378158,9260,33000,7404,10524,110632.813125,4498.297187,Munich (EDDM)
2024,1,JAN,EDDN,Nurenberg,Germany,1133,18110.141103137597,3007.646185077429,212580,60340,5100,133,466,88209.5938326,29209.6438154,1153,6644.4257899298,374.799568811725,65871,9751,32000,766,1135,9826.158228799999,260.96365199999997,Nurenberg (EDDN)
2024,1,JAN,EDDP,Leipzig/Halle,Germany,2720,35497.1047883301,11962.323290591099,493180,233880,3398.426152590779,273,620,584856.5718452,339187.5991064999,2774,4517.407915926407,75.5157685096932,37980,1240,32027.2727272727,2362,2746,13348.0271674,1623.786196,Leipzig/Halle (EDDP)
2024,1,JAN,EDDR,Saarbrucken,Germany,107,2531.762632461372,608.1819824223601,39720,14340,4072.281639928698,17,35,8890.7141349,2376.1750201,114,832.5020537136701,387.884604156686,11780,7160,17004.166666666697,74,95,1158.356748499999,649.5818145000001,Saarbrucken (EDDR)
2024,1,JAN,EDDS,Stuttgart,Germany,2426,49008.842765563706,6297.949493706873,531120,122400,4657.933807609031,244,859,258254.6861182999,69282.6458659,2457,9999.753466231572,222.79351107683502,87700,5340,32988.1578947368,1809,2432,17051.691728499998,311.10922800000003,Stuttgart (EDDS)
2024,1,JAN,EDDV,Hanover,Germany,1411,10614.712383695101,4245.493810132272,152600,91260,3131.3074565883553,292,452,71993.23832019999,48338.076160000004,1450,3320.5130896918554,196.02210323797703,31600,4980,33000,1209,1437,3491.608945799999,84.68717499999998,Hanover (EDDV)
2024,1,JAN,EDDW,Bremen,Germany,704,5995.622826833237,3141.213179088983,100220,72000,3008.4644324088545,127,166,37999.9615653,24622.6602498,690,1082.947563269948,276.00219872446803,14880,7940,31000,604,671,1511.5656809999991,260.092806,Bremen (EDDW)
